iter	Passed	Remaining
0	109	54485
1	233	58191
2	335	55519
3	431	53521
4	525	52060
5	628	51755
6	691	48697
7	750	46153
8	807	44064
9	860	42176
10	916	40749
11	972	39556
12	1034	38750
13	1091	37892
14	1146	37078
15	1202	36363
16	1256	35704
17	1314	35193
18	1370	34701
19	1428	34293
20	1489	33970
21	1548	33649
22	1604	33274
23	1665	33027
24	1725	32792
25	1785	32549
26	1842	32276
27	1900	32029
28	1958	31812
29	2017	31599
30	2076	31411
31	2133	31196
32	2196	31084
33	2253	30891
34	2308	30663
35	2367	30510
36	2425	30352
37	2480	30158
38	2536	29979
39	2593	29822
40	2647	29638
41	2723	29699
42	2789	29651
43	2844	29476
44	2898	29306
45	2953	29145
46	3009	29005
47	3068	28891
48	3121	28731
49	3182	28641
50	3244	28562
51	3305	28479
52	3333	28115
53	3390	28006
54	3449	27908
55	3507	27810
56	3562	27689
57	3620	27587
58	3677	27486
59	3753	27525
60	3827	27548
61	3893	27502
62	3952	27416
63	4010	27323
64	4064	27202
65	4119	27089
66	4173	26973
67	4230	26877
68	4283	26754
69	4308	26468
70	4362	26360
71	4417	26258
72	4472	26158
73	4525	26054
74	4579	25951
75	4634	25854
76	4686	25744
77	4748	25691
78	4804	25604
79	4860	25518
80	4926	25483
81	4988	25429
82	5053	25391
83	5111	25313
84	5175	25270
85	5238	25217
86	5308	25202
87	5370	25144
88	5430	25076
89	5489	25005
90	5545	24924
91	5603	24852
92	5659	24768
93	5716	24691
94	5782	24652
95	5844	24596
96	5903	24528
97	5960	24449
98	6018	24377
99	6080	24320
100	6138	24250
101	6201	24197
102	6260	24130
103	6321	24068
104	6380	24001
105	6435	23922
106	6493	23850
107	6548	23769
108	6602	23684
109	6662	23620
110	6717	23540
111	6774	23468
112	6826	23380
113	6882	23302
114	6938	23229
115	6994	23155
116	7055	23096
117	7114	23031
118	7173	22967
119	7228	22888
120	7285	22819
121	7343	22751
122	7405	22697
123	7464	22634
124	7520	22562
125	7579	22498
126	7640	22439
127	7695	22364
128	7760	22318
129	7823	22267
130	7879	22194
131	7939	22133
132	7996	22064
133	8050	21988
134	8105	21915
135	8168	21862
136	8224	21792
137	8278	21716
138	8330	21635
139	8389	21573
140	8443	21499
141	8496	21421
142	8550	21345
143	8605	21274
144	8658	21197
145	8711	21121
146	8765	21049
147	8825	20989
148	8888	20939
149	8949	20882
150	9010	20825
151	9074	20775
152	9136	20720
153	9199	20668
154	9258	20607
155	9323	20559
156	9379	20492
157	9442	20439
158	9503	20381
159	9561	20318
160	9621	20257
161	9675	20187
162	9733	20123
163	9791	20060
164	9847	19994
165	9907	19934
166	9966	19872
167	10024	19810
168	10084	19751
169	10139	19683
170	10194	19613
171	10250	19546
172	10305	19478
173	10360	19411
174	10418	19348
175	10479	19291
176	10535	19225
177	10593	19164
178	10651	19100
179	10706	19033
180	10764	18971
181	10818	18903
182	10882	18850
183	10937	18783
184	10999	18728
185	11055	18663
186	11113	18602
187	11169	18536
188	11222	18466
189	11274	18395
190	11328	18327
191	11382	18259
192	11436	18192
193	11491	18126
194	11547	18060
195	11606	18001
196	11658	17931
197	11710	17861
198	11762	17791
199	11837	17756
200	11900	17702
201	11960	17644
202	12025	17593
203	12088	17540
204	12147	17479
205	12207	17421
206	12267	17363
207	12326	17304
208	12382	17241
209	12445	17187
210	12500	17121
211	12558	17060
212	12613	16995
213	12669	16931
214	12721	16862
215	12783	16807
216	12845	16751
217	12900	16688
218	12959	16628
219	13018	16568
220	13075	16507
221	13134	16447
222	13192	16387
223	13249	16324
224	13306	16263
225	13359	16196
226	13418	16137
227	13476	16076
228	13531	16012
229	13586	15949
230	13642	15886
231	13698	15823
232	13757	15764
233	13817	15706
234	13871	15642
235	13925	15577
236	13982	15516
237	14039	15454
238	14097	15395
239	14153	15332
240	14209	15271
241	14269	15213
242	14323	15148
243	14376	15083
244	14430	15019
245	14481	14952
246	14536	14889
247	14588	14824
248	14640	14758
249	14693	14693
250	14745	14628
251	14800	14565
252	14854	14502
253	14909	14440
254	14964	14378
255	15022	14318
256	15085	14263
257	15148	14208
258	15205	14149
259	15266	14092
260	15325	14033
261	15387	13977
262	15444	13917
263	15500	13856
264	15557	13796
265	15610	13732
266	15669	13673
267	15725	13612
268	15782	13553
269	15841	13494
270	15895	13432
271	15950	13370
272	16008	13311
273	16064	13249
274	16124	13192
275	16191	13140
276	16251	13083
277	16305	13021
278	16364	12962
279	16423	12904
280	16480	12844
281	16532	12780
282	16586	12718
283	16637	12654
284	16690	12591
285	16746	12530
286	16801	12469
287	16854	12406
288	16909	12345
289	16962	12283
290	17018	12223
291	17075	12163
292	17129	12101
293	17187	12042
294	17244	11983
295	17303	11925
296	17361	11866
297	17421	11809
298	17477	11749
299	17530	11686
300	17588	11628
301	17644	11568
302	17703	11510
303	17758	11449
304	17814	11389
305	17869	11328
306	17931	11272
307	17988	11213
308	18045	11154
309	18101	11094
310	18165	11039
311	18223	10980
312	18279	10920
313	18339	10863
314	18397	10804
315	18454	10745
316	18514	10688
317	18566	10626
318	18621	10565
319	18674	10504
320	18727	10443
321	18780	10381
322	18834	10320
323	18886	10259
324	18942	10199
325	18997	10139
326	19052	10079
327	19111	10021
328	19169	9963
329	19228	9905
330	19284	9845
331	19341	9787
332	19395	9727
333	19451	9667
334	19509	9609
335	19561	9548
336	19620	9489
337	19675	9430
338	19731	9371
339	19790	9313
340	19844	9253
341	19903	9195
342	19967	9139
343	20023	9080
344	20076	9019
345	20135	8962
346	20188	8901
347	20246	8843
348	20299	8782
349	20357	8724
350	20410	8664
351	20466	8605
352	20527	8548
353	20580	8487
354	20632	8427
355	20686	8367
356	20738	8306
357	20790	8246
358	20841	8185
359	20893	8125
360	20950	8066
361	20976	7996
362	21038	7939
363	21041	7861
364	21097	7803
365	21163	7748
366	21226	7692
367	21290	7636
368	21353	7580
369	21408	7521
370	21464	7463
371	21519	7404
372	21580	7347
373	21636	7289
374	21691	7230
375	21748	7172
376	21803	7113
377	21862	7056
378	21919	6998
379	21975	6939
380	22032	6881
381	22088	6823
382	22145	6764
383	22201	6706
384	22260	6649
385	22316	6590
386	22373	6532
387	22427	6473
388	22484	6416
389	22544	6358
390	22600	6300
391	22655	6241
392	22707	6182
393	22761	6123
394	22814	6064
395	22869	6006
396	22925	5948
397	22981	5889
398	23039	5832
399	23099	5774
400	23156	5717
401	23215	5659
402	23269	5600
403	23327	5543
404	23382	5484
405	23442	5427
406	23500	5369
407	23559	5312
408	23615	5254
409	23674	5196
410	23729	5138
411	23784	5080
412	23842	5022
413	23901	4965
414	23958	4907
415	24013	4848
416	24068	4790
417	24122	4732
418	24175	4673
419	24231	4615
420	24284	4557
421	24342	4499
422	24394	4440
423	24447	4382
424	24500	4323
425	24551	4264
426	24603	4206
427	24656	4147
428	24709	4089
429	24764	4031
430	24825	3974
431	24882	3916
432	24942	3859
433	25004	3802
434	25066	3745
435	25125	3688
436	25189	3631
437	25248	3573
438	25304	3516
439	25362	3458
440	25424	3401
441	25485	3344
442	25543	3286
443	25598	3228
444	25653	3170
445	25708	3112
446	25764	3054
447	25824	2997
448	25880	2939
449	25941	2882
450	26000	2824
451	26060	2767
452	26118	2709
453	26173	2651
454	26230	2594
455	26284	2536
456	26344	2478
457	26401	2421
458	26456	2363
459	26508	2305
460	26560	2246
461	26615	2189
462	26666	2131
463	26720	2073
464	26773	2015
465	26826	1957
466	26880	1899
467	26937	1841
468	26996	1784
469	27051	1726
470	27109	1669
471	27162	1611
472	27221	1553
473	27278	1496
474	27334	1438
475	27390	1381
476	27449	1323
477	27506	1266
478	27558	1208
479	27614	1150
480	27668	1092
481	27732	1035
482	27787	978
483	27845	920
484	27902	862
485	27958	805
486	28019	747
487	28101	691
488	28168	633
489	28226	576
490	28281	518
491	28331	460
492	28383	403
493	28437	345
494	28491	287
495	28541	230
496	28598	172
497	28652	115
498	28705	57
499	28757	0
